date,amount,category,description
19-01-2025,400.0,Income,a intrat bursa
19-01-2025,45.0,Expense,am luat un covrig de la Luca
12-03-2022,500.0,Expense,excursie
24-01-2024,1234.0,Income,am castigat la un giveaway
24-01-2024,100.0,Expense,cumparaturi
15-02-2023,250.0,Income,salariu
03-05-2022,20.0,Expense,cafea
10-07-2023,800.0,Income,bonus
29-11-2024,50.0,Expense,benzină
18-09-2022,300.0,Income,vânzare obiecte vechi
07-12-2023,75.0,Expense,restaurant
02-08-2024,600.0,Income,dividende
21-06-2022,30.0,Expense,abonament sală
14-03-2023,400.0,Income,consultanță
09-10-2024,80.0,Expense,îmbrăcăminte
05-01-2023,350.0,Income,vânzare online
27-07-2022,25.0,Expense,revistă
16-04-2023,200.0,Income,premiu
11-09-2024,60.0,Expense,transport
08-02-2023,150.0,Income,rentă
01-11-2022,40.0,Expense,fast-food
23-05-2023,700.0,Income,proiect freelance
19-08-2024,55.0,Expense,cafenea
06-06-2022,180.0,Income,vânzare mobilă
